Number of classes: 2
Elapsed time: 0:40:16.610691
Mini-batch size: 400
Number of epochs: 116
Learning rate: 0.01
Subset: small
------------------------------------
Testing accuracy: 0.3913043439388275
Training accuracy: 0.9554794430732727
------------------------------------
cost history,	validation history
1295.677734375,	0.09090909361839294
1306.5224609375,	0.1818181872367859
1263.813720703125,	0.4545454680919647
1058.0760498046875,	0.5454545617103577
814.837158203125,	0.40909090638160706
811.8997802734375,	0.40909090638160706
792.9382934570312,	0.13636364042758942
752.4463500976562,	0.3181818127632141
678.04443359375,	0.4545454680919647
636.34033203125,	0.4545454680919647
712.8775024414062,	0.40909090638160706
681.2230834960938,	0.4545454680919647
593.568115234375,	0.5
643.3726806640625,	0.5
567.049072265625,	0.5
486.3916320800781,	0.5909090638160706
538.3233642578125,	0.5
441.3515319824219,	0.40909090638160706
542.87060546875,	0.40909090638160706
534.4675903320312,	0.5
455.2521057128906,	0.5454545617103577
492.5966491699219,	0.5909090638160706
442.248046875,	0.5454545617103577
368.0907897949219,	0.5454545617103577
422.6173400878906,	0.5
485.0396423339844,	0.5
347.37432861328125,	0.5454545617103577
369.2743835449219,	0.5454545617103577
427.9592590332031,	0.5
355.8358459472656,	0.5
431.6324157714844,	0.4545454680919647
377.066162109375,	0.40909090638160706
330.7176513671875,	0.4545454680919647
353.26934814453125,	0.4545454680919647
366.177734375,	0.5
340.1953125,	0.5
320.51837158203125,	0.5454545617103577
251.2024688720703,	0.5454545617103577
301.6100158691406,	0.5454545617103577
321.3135070800781,	0.5
255.14794921875,	0.5
358.1454772949219,	0.5
223.04824829101562,	0.5454545617103577
335.6449890136719,	0.5909090638160706
228.85659790039062,	0.5454545617103577
217.87550354003906,	0.5454545617103577
288.846435546875,	0.5454545617103577
238.93516540527344,	0.5454545617103577
211.75112915039062,	0.5454545617103577
158.36361694335938,	0.5909090638160706
273.1006774902344,	0.5909090638160706
233.86154174804688,	0.5454545617103577
206.7666473388672,	0.5454545617103577
216.51405334472656,	0.5454545617103577
202.5186767578125,	0.5454545617103577
211.27789306640625,	0.5454545617103577
223.6757049560547,	0.5909090638160706
133.53636169433594,	0.5454545617103577
152.6097869873047,	0.5
175.5382080078125,	0.5
164.73680114746094,	0.5
156.18447875976562,	0.5
168.11190795898438,	0.5454545617103577
207.16871643066406,	0.5454545617103577
168.26361083984375,	0.5454545617103577
184.9387969970703,	0.5454545617103577
120.81233215332031,	0.5454545617103577
129.01480102539062,	0.5909090638160706
141.72152709960938,	0.5909090638160706
178.44552612304688,	0.5454545617103577
134.32101440429688,	0.5909090638160706
115.32568359375,	0.5909090638160706
134.86268615722656,	0.5909090638160706
138.97169494628906,	0.5909090638160706
126.73893737792969,	0.5909090638160706
138.11541748046875,	0.5909090638160706
148.10855102539062,	0.5909090638160706
102.53477478027344,	0.6363636255264282
129.0769500732422,	0.6363636255264282
109.4344253540039,	0.6363636255264282
119.15489959716797,	0.6363636255264282
106.53545379638672,	0.6363636255264282
120.05029296875,	0.6363636255264282
89.64205932617188,	0.5909090638160706
111.0117416381836,	0.5909090638160706
105.5750503540039,	0.4545454680919647
128.42645263671875,	0.4545454680919647
91.30358123779297,	0.4545454680919647
120.62649536132812,	0.4545454680919647
124.638671875,	0.5
68.82903289794922,	0.5909090638160706
89.62010955810547,	0.5909090638160706
74.31718444824219,	0.6363636255264282
74.6455307006836,	0.6363636255264282
91.00365447998047,	0.6363636255264282
84.43061828613281,	0.6363636255264282
109.1874771118164,	0.6363636255264282
94.63652801513672,	0.6363636255264282
80.97219848632812,	0.6363636255264282
92.04133605957031,	0.6363636255264282
99.55978393554688,	0.5909090638160706
135.74705505371094,	0.5909090638160706
80.41215515136719,	0.5909090638160706
95.4615707397461,	0.5909090638160706
92.94667053222656,	0.5909090638160706
52.648502349853516,	0.5909090638160706
63.362606048583984,	0.5909090638160706
53.175071716308594,	0.5909090638160706
69.32183837890625,	0.5909090638160706
69.87049102783203,	0.6363636255264282
69.2871322631836,	0.6363636255264282
77.96400451660156,	0.6363636255264282
71.73869323730469,	0.6363636255264282
64.43605041503906,	0.5909090638160706
66.06566619873047,	0.5909090638160706
81.47167205810547,	0.5454545617103577
53.43169021606445,	0.5454545617103577
63.18547439575195,	0.5454545617103577
73.27458190917969,	0.5454545617103577
64.51236724853516,	0.5454545617103577
63.71281433105469,	0.5454545617103577
86.1884765625,	0.6363636255264282
46.3426513671875,	0.6818181872367859
59.01036071777344,	0.7272727489471436
46.36968231201172,	0.7272727489471436
67.3921127319336,	0.6818181872367859
50.37222671508789,	0.5909090638160706
44.48851013183594,	0.5909090638160706
47.56534194946289,	0.5909090638160706
29.963777542114258,	0.5454545617103577
39.709014892578125,	0.5
77.0700454711914,	0.5
57.697410583496094,	0.5454545617103577
42.2473030090332,	0.6363636255264282
40.61664962768555,	0.6363636255264282
37.47148513793945,	0.6363636255264282
42.61992263793945,	0.7272727489471436
39.62358474731445,	0.6818181872367859
47.843360900878906,	0.6818181872367859
37.743473052978516,	0.6363636255264282
52.04505920410156,	0.5909090638160706
28.47705078125,	0.6363636255264282
35.690711975097656,	0.6363636255264282
29.33660316467285,	0.5909090638160706
28.459735870361328,	0.5909090638160706
30.330991744995117,	0.5909090638160706
38.12042999267578,	0.5454545617103577
29.10093879699707,	0.5454545617103577
44.77287292480469,	0.5454545617103577
36.448795318603516,	0.5909090638160706
34.38034439086914,	0.6363636255264282
55.019432067871094,	0.6363636255264282
28.978242874145508,	0.5909090638160706
60.065757751464844,	0.5909090638160706
22.86279296875,	0.5909090638160706
