Number of classes: 3
Elapsed time: 0:05:00.020581
One batch.
Number of epochs: 12176
Learning rate: 0.05
Subset: small
------------------------------------
Testing accuracy: 0.3723404109477997
Training accuracy: 0.4170437455177307
------------------------------------
cost history,	validation history
0.7640458345413208,	0.3154761791229248
0.6915048360824585,	0.0892857164144516
0.6591620445251465,	0.0
0.6450740098953247,	0.0
0.6387028694152832,	0.0
0.6356210112571716,	0.0
0.6339808106422424,	0.0
0.6329890489578247,	0.0
0.6322964429855347,	0.0
0.6317456960678101,	0.0
0.6312645673751831,	0.0
0.63081955909729,	0.0
0.6303945779800415,	0.0
0.6299834251403809,	0.0
0.6295814514160156,	0.0
0.6291877627372742,	0.0
0.6288003921508789,	0.0
0.6284192800521851,	0.0
0.628044843673706,	0.0
0.6276760697364807,	0.0
0.6273133754730225,	0.0
0.6269562840461731,	0.0
0.6266041398048401,	0.0
0.6262578964233398,	0.0
0.6259169578552246,	0.0
0.6255809664726257,	0.0
0.6252498030662537,	0.0
0.6249238848686218,	0.0
0.6246031522750854,	0.0
0.6242868900299072,	0.0
0.6239752173423767,	0.0
0.6236680150032043,	0.0
0.6233657598495483,	0.0
0.6230675578117371,	0.0
0.6227738857269287,	0.0
0.6224844455718994,	0.0
0.6221991181373596,	0.0
0.6219173669815063,	0.0
0.6216404438018799,	0.0
0.6213667988777161,	0.0
0.6210973858833313,	0.0
0.6208316683769226,	0.0
0.6205695867538452,	0.0
0.6203111410140991,	0.0
0.6200557351112366,	0.0
0.6198047995567322,	0.0
0.6195565462112427,	0.0
0.6193118095397949,	0.0
0.6190706491470337,	0.0
0.6188323497772217,	0.0
0.6185970902442932,	0.0
0.6183656454086304,	0.0
0.6181363463401794,	0.0
0.6179107427597046,	0.0
0.6176876425743103,	0.0
0.6174673438072205,	0.0
0.6172502040863037,	0.0
0.6170356869697571,	0.0
0.6168237924575806,	0.0
0.6166147589683533,	0.0
0.616408109664917,	0.0
0.616204023361206,	0.0
0.61600261926651,	0.0
0.6158037185668945,	0.0
0.6156071424484253,	0.0
0.6154128909111023,	0.0
0.6152210235595703,	0.0
0.6150312423706055,	0.0
0.6148437857627869,	0.0
0.6146590113639832,	0.0
0.6144760251045227,	0.0
0.6142948269844055,	0.0
0.6141164302825928,	0.0
0.6139397025108337,	0.0
0.6137646436691284,	0.0
0.6135923266410828,	0.0
0.6134213805198669,	0.0
0.6132524013519287,	0.0
0.6130855083465576,	0.0
0.612920343875885,	0.0
0.6127568483352661,	0.0
0.6125954985618591,	0.0
0.6124353408813477,	0.0
0.6122770309448242,	0.0
0.6121207475662231,	0.0
0.6119656562805176,	0.0
0.6118125319480896,	0.0
0.6116609573364258,	0.0
0.6115108132362366,	0.0
0.611362099647522,	0.0
0.6112152338027954,	0.0
0.6110696792602539,	0.0
0.6109257936477661,	0.0
0.6107831597328186,	0.0
0.610641598701477,	0.0
0.6105020046234131,	0.0
0.6103631854057312,	0.0
0.610226571559906,	0.0
0.6100901961326599,	0.0
0.6099556684494019,	0.0
0.6098220348358154,	0.0
0.6096899509429932,	0.0
0.6095595359802246,	0.0
0.6094293594360352,	0.0
0.6093007922172546,	0.0
0.6091737151145935,	0.0
0.6090472936630249,	0.0
0.6089224815368652,	0.0
0.6087985038757324,	0.0
0.6086754202842712,	0.0
0.6085535883903503,	0.0
0.608432948589325,	0.0
0.608313262462616,	0.0
0.6081944108009338,	0.0
0.6080768704414368,	0.0
0.6079596877098083,	0.0
0.607844352722168,	0.0
0.6077291965484619,	0.0
0.6076152324676514,	0.0
0.6075025200843811,	0.0
0.6073903441429138,	0.0
0.6072794198989868,	0.0
0.6071687936782837,	0.0
0.6070592999458313,	0.0
